instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
BTC-26AUG26-68000-C,68000.0,CALL,2026-08-26 08:00:00+00:00,92.5,0.1472,79735.48,0.1445,0.15,0.0,0.0,0.99971,0.0,0.0434,-2.00731
BTC-26AUG26-68000-P,68000.0,PUT,2026-08-26 08:00:00+00:00,92.5,0.0,79736.19,0.0,0.0001,11.6,7.2,-0.00029,0.0,0.04337,-0.27965
BTC-26AUG26-69000-C,69000.0,CALL,2026-08-26 08:00:00+00:00,92.41,0.1347,79735.48,0.132,0.1375,0.0,0.0,0.99912,0.0,0.12017,-5.5525
BTC-26AUG26-69000-P,69000.0,PUT,2026-08-26 08:00:00+00:00,92.41,0.0,79735.48,0.0,0.0001,31.1,6.2,-0.00088,0.0,0.12017,-0.90502
BTC-26AUG26-70000-C,70000.0,CALL,2026-08-26 08:00:00+00:00,92.35,0.1221,79735.48,0.12,0.125,0.0,0.0,0.99761,0.0,0.29987,-13.84713
BTC-26AUG26-70000-P,70000.0,PUT,2026-08-26 08:00:00+00:00,92.35,0.0,79735.48,0.0,0.0001,41.1,5.6,-0.00239,0.0,0.29987,-2.66343
BTC-26AUG26-71000-C,71000.0,CALL,2026-08-26 08:00:00+00:00,90.02,0.1096,79736.45,0.107,0.1125,0.0,0.0,0.99507,0.0,0.57394,-25.83266
BTC-26AUG26-71000-P,71000.0,PUT,2026-08-26 08:00:00+00:00,90.02,0.0001,79735.48,0.0,0.0001,59.3,37.0,-0.00494,0.0,0.57433,-5.70633
BTC-26AUG26-72000-C,72000.0,CALL,2026-08-26 08:00:00+00:00,81.22,0.0971,79736.45,0.0945,0.1,0.0,0.0,0.99403,1e-05,0.68037,-27.62952
BTC-26AUG26-72000-P,72000.0,PUT,2026-08-26 08:00:00+00:00,81.22,0.0001,79736.45,0.0,0.0001,112.2,41.5,-0.00597,1e-05,0.68037,-6.34207
BTC-26AUG26-73000-C,73000.0,CALL,2026-08-26 08:00:00+00:00,73.59,0.0846,79736.45,0.082,0.0875,0.0,0.0,0.99177,1e-05,0.90299,-33.22403
BTC-26AUG26-73000-P,73000.0,PUT,2026-08-26 08:00:00+00:00,73.59,0.0001,79736.45,0.0,0.0001,69.7,38.9,-0.00823,1e-05,0.90299,-8.16986
BTC-26AUG26-74000-C,74000.0,CALL,2026-08-26 08:00:00+00:00,68.4,0.0721,79735.48,0.0695,0.075,0.0,0.0,0.98547,1e-05,1.48086,-50.64802
BTC-26AUG26-74000-P,74000.0,PUT,2026-08-26 08:00:00+00:00,68.4,0.0002,79735.48,0.0001,0.0003,59.7,46.9,-0.01453,1e-05,1.48086,-14.25367
BTC-26AUG26-74500-C,74500.0,CALL,2026-08-26 08:00:00+00:00,63.97,0.0659,79735.48,0.063,0.069,0.0,0.0,0.98311,2e-05,1.68471,-53.88506
BTC-26AUG26-74500-P,74500.0,PUT,2026-08-26 08:00:00+00:00,63.97,0.0002,79735.48,0.0001,0.0003,100.0,22.7,-0.01689,2e-05,1.68471,-15.75963
BTC-26AUG26-75000-C,75000.0,CALL,2026-08-26 08:00:00+00:00,58.82,0.0596,79736.45,0.057,0.0625,0.0,0.0,0.98127,2e-05,1.8406,-54.13231
BTC-26AUG26-75000-P,75000.0,PUT,2026-08-26 08:00:00+00:00,58.82,0.0002,79735.48,0.0001,0.0003,38.6,33.8,-0.01875,2e-05,1.84215,-16.28347
BTC-26AUG26-75500-C,75500.0,CALL,2026-08-26 08:00:00+00:00,55.59,0.0534,79735.48,0.0505,0.0565,0.0,0.0,0.97513,3e-05,2.33849,-65.00068
BTC-26AUG26-75500-P,75500.0,PUT,2026-08-26 08:00:00+00:00,55.59,0.0003,79736.45,0.0002,0.0004,70.5,28.4,-0.02485,3e-05,2.33653,-21.15259
BTC-26AUG26-76000-C,76000.0,CALL,2026-08-26 08:00:00+00:00,52.21,0.0472,79735.48,0.0445,0.0505,0.0,0.0,0.96688,4e-05,2.96737,-77.45796
BTC-26AUG26-76000-P,76000.0,PUT,2026-08-26 08:00:00+00:00,52.21,0.0003,79736.45,0.0002,0.0005,37.4,46.3,-0.03309,4e-05,2.96489,-27.50304
BTC-26AUG26-76500-C,76500.0,CALL,2026-08-26 08:00:00+00:00,49.12,0.0411,79736.45,0.039,0.0445,5.0,0.0,0.95412,5e-05,3.86913,-95.02878
BTC-26AUG26-76500-P,76500.0,PUT,2026-08-26 08:00:00+00:00,49.12,0.0005,79736.45,0.0004,0.0006,109.8,110.4,-0.04588,5e-05,3.86913,-37.67028
BTC-26AUG26-77000-C,77000.0,CALL,2026-08-26 08:00:00+00:00,46.52,0.035,79735.48,0.033,0.0385,30.2,10.0,0.93329,7e-05,5.19909,-120.92954
BTC-26AUG26-77000-P,77000.0,PUT,2026-08-26 08:00:00+00:00,46.52,0.0007,79736.45,0.0005,0.0008,126.7,184.1,-0.06665,7e-05,5.19511,-55.11965
BTC-26AUG26-77500-C,77500.0,CALL,2026-08-26 08:00:00+00:00,44.88,0.0292,79736.45,0.027,0.032,3.4,1.9,0.89781,0.0001,7.1647,-160.7628
BTC-26AUG26-77500-P,77500.0,PUT,2026-08-26 08:00:00+00:00,44.88,0.0011,79736.45,0.001,0.0012,39.1,32.6,-0.10219,0.0001,7.1647,-88.44262
BTC-26AUG26-78000-C,78000.0,CALL,2026-08-26 08:00:00+00:00,44.26,0.0237,79735.48,0.0215,0.0265,10.6,1.2,0.84078,0.00014,9.74631,-215.69141
BTC-26AUG26-78000-P,78000.0,PUT,2026-08-26 08:00:00+00:00,44.26,0.0019,79736.45,0.0017,0.002,49.7,55.6,-0.15909,0.00014,9.74113,-150.17095
BTC-26AUG26-78500-C,78500.0,CALL,2026-08-26 08:00:00+00:00,44.05,0.0186,79735.48,0.0165,0.022,25.1,35.4,0.76254,0.00017,12.42001,-273.56102
BTC-26AUG26-78500-P,78500.0,PUT,2026-08-26 08:00:00+00:00,44.05,0.0031,79736.45,0.0028,0.003,61.9,81.0,-0.23729,0.00017,12.4153,-249.2267
BTC-26AUG26-79000-C,79000.0,CALL,2026-08-26 08:00:00+00:00,44.67,0.0143,79736.45,0.0135,0.0155,57.9,47.8,0.66402,0.0002,14.65695,-327.34079
BTC-26AUG26-79000-P,79000.0,PUT,2026-08-26 08:00:00+00:00,44.67,0.0051,79736.45,0.0047,0.0055,36.0,38.1,-0.33598,0.0002,14.65695,-327.34079
BTC-26AUG26-79500-C,79500.0,CALL,2026-08-26 08:00:00+00:00,46.16,0.0108,79735.48,0.01,0.0115,35.4,21.4,0.55518,0.00021,15.87792,-366.48229
BTC-26AUG26-79500-P,79500.0,PUT,2026-08-26 08:00:00+00:00,46.16,0.0079,79736.45,0.007,0.0085,12.5,12.8,-0.44461,0.00021,15.87696,-366.4601
BTC-26AUG26-80000-C,80000.0,CALL,2026-08-26 08:00:00+00:00,47.33,0.008,79736.45,0.0075,0.0085,99.0,125.6,0.4497,0.00021,15.90411,-376.33779
BTC-26AUG26-80000-P,80000.0,PUT,2026-08-26 08:00:00+00:00,47.33,0.0113,79735.48,0.0105,0.012,41.5,43.8,-0.5505,0.00021,15.90288,-376.3089
BTC-26AUG26-80500-C,80500.0,CALL,2026-08-26 08:00:00+00:00,48.65,0.0058,79736.45,0.0055,0.0065,18.9,19.1,0.35329,0.00019,14.93502,-363.27791
BTC-26AUG26-80500-P,80500.0,PUT,2026-08-26 08:00:00+00:00,48.65,0.0153,79736.45,0.0145,0.016,38.5,48.5,-0.64671,0.00019,14.93502,-363.27791
BTC-26AUG26-81000-C,81000.0,CALL,2026-08-26 08:00:00+00:00,50.03,0.0041,79736.81,0.0039,0.0042,56.2,80.7,0.27067,0.00016,13.30368,-328.78038
BTC-26AUG26-81000-P,81000.0,PUT,2026-08-26 08:00:00+00:00,50.03,0.02,79736.81,0.0175,0.0215,13.0,13.1,-0.72933,0.00016,13.30368,-332.77924
BTC-26AUG26-81500-C,81500.0,CALL,2026-08-26 08:00:00+00:00,51.59,0.0029,79736.81,0.0027,0.0033,1.9,1.9,0.20377,0.00014,11.377,-234.01445
