instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
ETH-2SEP26-2100-C,2100.0,CALL,2026-09-02 08:00:00+00:00,84.4,0.1267,2404.62,0.0,0.0,0.0,0.0,0.99998,0.0,8e-05,-0.00322
ETH-2SEP26-2100-P,2100.0,PUT,2026-09-02 08:00:00+00:00,84.4,0.0,2404.62,0.0,0.0001,560.0,0.0,-2e-05,0.0,8e-05,-0.00033
ETH-2SEP26-2200-C,2200.0,CALL,2026-09-02 08:00:00+00:00,82.64,0.0851,2404.62,0.0001,0.0,0.0,0.0,0.99719,0.00011,0.0081,-0.33482
ETH-2SEP26-2200-P,2200.0,PUT,2026-09-02 08:00:00+00:00,82.64,0.0,2404.62,0.0,0.0002,118.0,100.0,-0.00281,0.00011,0.0081,-0.06613
ETH-2SEP26-2240-C,2240.0,CALL,2026-09-02 08:00:00+00:00,80.71,0.0686,2404.62,0.0001,0.0,0.0,0.0,0.9882,0.00041,0.02893,-1.16754
ETH-2SEP26-2240-P,2240.0,PUT,2026-09-02 08:00:00+00:00,80.71,0.0001,2404.62,0.0,0.0003,85.0,5.0,-0.0118,0.00041,0.02893,-0.3121
ETH-2SEP26-2250-C,2250.0,CALL,2026-09-02 08:00:00+00:00,76.76,0.0644,2404.62,0.0001,0.0,0.0,0.0,0.98713,0.00046,0.03118,-1.19665
ETH-2SEP26-2250-P,2250.0,PUT,2026-09-02 08:00:00+00:00,76.76,0.0001,2404.62,0.0,0.0,1.0,0.0,-0.01287,0.00046,0.03118,-0.32662
ETH-2SEP26-2260-C,2260.0,CALL,2026-09-02 08:00:00+00:00,73.04,0.0603,2404.62,0.0001,0.0,0.0,0.0,0.98563,0.00053,0.03431,-1.2531
ETH-2SEP26-2260-P,2260.0,PUT,2026-09-02 08:00:00+00:00,73.04,0.0001,2404.63,0.0001,0.0,50.0,50.0,-0.01437,0.00053,0.0343,-0.35158
ETH-2SEP26-2280-C,2280.0,CALL,2026-09-02 08:00:00+00:00,68.9,0.0521,2404.62,0.0001,0.0,0.0,0.0,0.97668,0.00085,0.05181,-1.78457
ETH-2SEP26-2280-P,2280.0,PUT,2026-09-02 08:00:00+00:00,68.9,0.0002,2404.62,0.0,0.0004,646.0,660.0,-0.02332,0.00085,0.05181,-0.57073
ETH-2SEP26-2300-C,2300.0,CALL,2026-09-02 08:00:00+00:00,63.62,0.0439,2404.63,0.0001,0.0,0.0,0.0,0.96419,0.00132,0.074,-2.35387
ETH-2SEP26-2300-P,2300.0,PUT,2026-09-02 08:00:00+00:00,63.62,0.0004,2404.62,0.0002,0.0004,347.0,354.0,-0.03582,0.00132,0.07402,-0.85867
ETH-2SEP26-2320-C,2320.0,CALL,2026-09-02 08:00:00+00:00,56.28,0.0357,2404.63,0.0001,0.0,1.0,0.0,0.94946,0.00197,0.09778,-2.75162
ETH-2SEP26-2320-P,2320.0,PUT,2026-09-02 08:00:00+00:00,56.28,0.0005,2404.62,0.0003,0.0006,171.0,108.0,-0.05056,0.00197,0.09781,-1.12954
ETH-2SEP26-2340-C,2340.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2340-P,2340.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2350-C,2350.0,CALL,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
ETH-2SEP26-2350-P,2350.0,PUT,2026-09-02 08:00:00+00:00,,,,,,0.0,,,,,
